epoch,whole_loss,wer,sacc
0,43.010343,0.72283,0.0
1,35.520519,0.71078,0.0
2,31.619024,0.79955,0.00108
3,27.75073,0.6723,0.00108
4,22.83965,0.61777,0.00974
5,17.161526,0.49781,0.04545
6,12.912729,0.60659,0.06169
7,9.821757,0.36161,0.13961
8,7.798766,0.4186,0.14935
9,6.55757,0.33373,0.18506
10,5.71172,0.37554,0.17208
11,4.946221,0.28444,0.23918
12,4.16328,0.28442,0.24892
13,3.773323,0.28565,0.26407
14,3.486329,0.26774,0.25758
15,3.314299,0.26627,0.28247
16,2.797289,0.2725,0.25216
17,2.710042,0.2561,0.26299
18,2.875018,0.28088,0.2619
19,2.297274,0.25876,0.28247
20,2.468094,0.22253,0.31385
21,1.913292,0.21364,0.32359
22,1.974922,0.22411,0.28896
23,1.746948,0.23913,0.30195
24,1.666594,0.21021,0.33658
25,1.476703,0.21405,0.30303
26,1.356091,0.20485,0.3355
27,1.333379,0.22319,0.31277
28,1.49569,0.20324,0.34199
29,1.201542,0.22411,0.30087
30,1.210627,0.21426,0.32251
31,1.283266,0.2078,0.32576
32,1.263071,0.20472,0.35498
33,1.144118,0.21579,0.33333
34,1.042692,0.20936,0.32468
35,0.998154,0.19861,0.33442
36,1.117722,0.22477,0.30519
37,1.112574,0.19706,0.34199
38,1.035812,0.2127,0.29654
39,1.102092,0.20862,0.32251
40,0.935011,0.20718,0.33983
41,0.919528,0.20483,0.35173
42,0.876026,0.19457,0.34091
43,0.742122,0.19038,0.35281
44,0.657725,0.17998,0.37013
45,0.684644,0.18738,0.3658
46,0.619404,0.18385,0.37987
47,0.642133,0.17582,0.38095
48,0.667575,0.18453,0.37229
49,0.585066,0.17908,0.38203
50,0.61049,0.17817,0.37013
51,0.724521,0.18151,0.37446
52,0.662002,0.18533,0.37662
53,0.6363,0.18059,0.37446
54,0.604137,0.18783,0.36688
55,0.60681,0.1795,0.37771
56,0.605213,0.17147,0.3842
57,0.593032,0.17688,0.37229
58,0.591094,0.17604,0.37771
59,0.591641,0.18284,0.38312
60,0.561003,0.17881,0.37987
61,0.589154,0.17394,0.37121
62,0.539805,0.18938,0.35281
63,0.625182,0.17222,0.37771
64,0.562809,0.17001,0.38203
65,0.58367,0.17493,0.38203
66,0.604008,0.18084,0.37013
67,0.541175,0.17389,0.37229
68,0.569552,0.1925,0.3658
69,0.511637,0.17352,0.37662
70,0.567,0.18649,0.35173
71,0.581519,0.17645,0.37879
72,0.597216,0.17864,0.37554
73,0.534921,0.17725,0.37879
74,0.606343,0.17198,0.37987
75,0.612075,0.17641,0.37987
76,0.592274,0.17318,0.37554
77,0.512547,0.17031,0.37879
78,0.590923,0.17413,0.37987
79,0.575578,0.17863,0.37771
80,0.588806,0.17918,0.37338
81,0.587616,0.18773,0.35606
82,0.628906,0.17329,0.38095
83,0.513339,0.17656,0.37338
84,0.527698,0.18398,0.36472
85,0.569578,0.1782,0.37987
86,0.543181,0.17576,0.37662
87,0.571429,0.17762,0.36905
88,0.521866,0.18287,0.37338
89,0.574143,0.17218,0.37446
90,0.54524,0.17382,0.38528
91,0.542686,0.17184,0.37771
92,0.547279,0.18457,0.37338
93,0.562051,0.18274,0.37013
94,0.611555,0.18855,0.35714
95,0.585886,0.17069,0.38203
96,0.569315,0.17303,0.37987
97,0.577672,0.18145,0.36797
98,0.549572,0.17052,0.37879
99,0.622474,0.17949,0.36905
100,0.547357,0.17819,0.37338
101,0.57609,0.17047,0.37987
102,0.586053,0.17945,0.37662
103,0.558229,0.17833,0.37013
104,0.607687,0.1714,0.38312
105,0.555016,0.17882,0.36797
106,0.504422,0.1731,0.37987
107,0.56986,0.17545,0.37987
108,0.558107,0.17625,0.37121
109,0.571809,0.18517,0.36905
110,0.572702,0.17636,0.37662
111,0.554318,0.17051,0.3842
112,0.556081,0.1827,0.35606
113,0.567033,0.17998,0.36905
114,0.555934,0.17419,0.38095
115,0.520119,0.1768,0.37879
116,0.522302,0.16996,0.3842
