(base) tsp330@TSP330-PC:~/Pytorch-Handwritten-Mathematical-Expression-Recognition$ python3 Train.py
total words/phones 112
total  8359 batch data loaded
ignore 476 images
total  925 batch data loaded
ignore 61 images
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 1.436%, running_loss is 94.721869
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 2.871%, running_loss is 71.191181
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 4.307%, running_loss is 56.251991
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 5.742%, running_loss is 54.502285
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 7.178%, running_loss is 53.313080
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 8.613%, running_loss is 57.962392
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 10.049%, running_loss is 47.246327
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 11.485%, running_loss is 54.831595
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 12.920%, running_loss is 48.512507
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 14.356%, running_loss is 55.510472
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 15.791%, running_loss is 45.367143
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 17.227%, running_loss is 40.757356
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 18.663%, running_loss is 50.419001
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 20.098%, running_loss is 40.512076
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 21.534%, running_loss is 44.880194
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 22.969%, running_loss is 43.203744
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 24.405%, running_loss is 44.780113
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 25.840%, running_loss is 45.900650
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 27.276%, running_loss is 39.959548
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 28.712%, running_loss is 40.279133
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 30.147%, running_loss is 40.629370
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 31.583%, running_loss is 41.582586
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 33.018%, running_loss is 40.287930
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 34.454%, running_loss is 44.013258
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 35.889%, running_loss is 43.477557
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 37.325%, running_loss is 39.756347
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 38.761%, running_loss is 40.957076
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 40.196%, running_loss is 43.658808
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 41.632%, running_loss is 40.323675
